company,country,region,industry,ownership,year,score,percent_score,strategic_action,gender_targets,gender_due_diligence,grievance_mechanisms,stakeholder_engagement,corrective_action,gender_leadership,development_recruitment,employee_data_by_sex,supply_chain_gender_leadership,enabling_environment_union_rights,gender_procurement,gender_pay_gap,carer_leave_paid,childcare_support,flex_work,living_wage_supply_chain,health_safety,health_safety_supply_chain,violence_prevention,violence_remediation
Aurubis,Germany,Europe & Central Asia,Metals & Mining,Public,2023,8.7,17,0,0,0,2.0,0,0.0,0,1,0,0,0,0,0,0.0,0,2,0,1.0,1,1.0,0.0
Austevoll Seafood,Norway,Europe & Central Asia,Food Production,Public,2023,7.6,15,0,0,0,2.0,0,0.0,1,0,0,0,0,0,0,0.0,0,0,0,1.0,1,1.0,0.0
AustralianSuper,Australia,East Asia & Pacific,Pension Funds,Private,2024,15.1,29,1,0,0,2.0,0,0.0,4,0,0,0,0,0,0,2.0,1,1,0,1.5,0,1.0,0.0
Autogrill,Italy,Europe & Central Asia,Food Retailers,Private,2023,9.4,18,1,1,0,1.0,0,0.0,2,0,1,0,0,0,0,0.0,1,0,0,0.0,1,1.0,0.0
Avery Dennison Corporation,United States,North America,Chemicals,Public,2023,8.0,15,0,0,0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,2,0,1.0,1,1.0,0.0
Aviva,United Kingdom,Europe & Central Asia,Insurance,Public,2024,16.0,31,1,1,0,1.0,0,0.0,3,1,0,0,0,0,0,0.0,0,2,1,1.5,1,1.0,0.0
Avril Group,France,Europe & Central Asia,Food Production,Private,2023,8.2,16,0,1,0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,1,0,1.0,1,1.0,0.0
AXA,France,Europe & Central Asia,Insurance,Public,2024,14.0,27,0,0,1,2.0,0,0.0,1,2,1,0,0,0,0,2.0,1,1,0,1.0,1,1.0,0.0
Axiata,Malaysia,East Asia & Pacific,Telecommunications,Public,2023,10.0,19,1,0,0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,1,0,1.0,2,1.0,0.0
Axis Bank,India,South Asia,Banks,Public,2024,10.4,20,0,1,0,1.0,0,0.0,0,0,1,0,0,0,0,0.0,0,1,0,1.5,1,1.0,0.0
B&G Foods,United States,North America,Food Production,Public,2023,8.7,17,0,1,0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,2,1.0,0.0
Bachoco,Mexico,Latin America & Caribbean,Agricultural Products,Public,2023,4.2,8,0,0,0,2.0,0,0.0,0,0,0,0,0,0,0,1.0,0,0,0,0.0,0,1.0,0.0
Baidu,China,East Asia & Pacific,IT Software & Services,Public,2023,11.8,23,0,0,0,1.0,0,0.0,0,0,1,0,0,0,0,0.0,2,1,0,1.5,1,1.0,0.0
Baillie Gifford,United Kingdom,Europe & Central Asia,Traditional Asset Managers,Private,2024,9.1,17,0,0,0,0.0,0,0.0,0,0,2,0,0,0,0,0.0,0,0,0,2.0,1,0.0,0.0
Bain Capital,United States,North America,Alternative Asset Managers,Private,2024,0.7,1,0,0,0,0.0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Balfour Beatty,United Kingdom,Europe & Central Asia,Construction & Engineering,Public,2024,9.8,19,0,1,0,1.0,0,0.0,0,1,0,0,0,0,0,2.0,0,2,0,1.0,1,1.0,0.0
Ball Corporation,United States,North America,Containers & Packaging,Public,2023,12.7,24,0,0,0,2.0,0,0.0,1,0,1,0,0,2,0,0.0,1,2,0,1.0,1,1.0,0.0
BAM,Netherlands,Europe & Central Asia,Real Estate,Public,2024,6.9,13,0,0,0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,2,0,1.0,0,1.0,0.0
